public	execution_audit_log	public	initiatives	initiative_id	id	CASCADE
public	execution_audit_log	public	users	changed_by	id	SET NULL
public	execution_budget_delete_receipts	public	execution_action_registry	action_id	action_id	NO ACTION
public	execution_budget_delete_receipts	public	organizations	organization_id	id	NO ACTION
public	execution_case_links	public	case_core	case_id	case_id	NO ACTION
public	execution_case_links	public	initiatives	initiative_id	id	NO ACTION
public	execution_case_links	public	organizations	organization_id	id	NO ACTION
public	execution_case_links	public	projects	project_id	id	NO ACTION
public	execution_delivery_evidence	public	case_workspace_artifact_links	artifact_link_id	link_id	NO ACTION
public	execution_delivery_evidence	public	execution_case_links	execution_link_id	link_id	NO ACTION
public	execution_delivery_evidence	public	organizations	organization_id	id	NO ACTION
public	execution_identity_aliases	public	case_core	legacy_case_id	case_id	NO ACTION
public	execution_identity_aliases	public	execution_case_links	execution_link_id	link_id	NO ACTION
public	execution_identity_aliases	public	initiatives	legacy_initiative_id	id	NO ACTION
public	execution_identity_aliases	public	organizations	organization_id	id	NO ACTION
public	execution_link_reopen_receipts	public	execution_case_links	execution_link_id	link_id	NO ACTION
public	execution_link_reopen_receipts	public	organizations	organization_id	id	NO ACTION
public	execution_results_signal_outbox	public	case_core	case_id	case_id	NO ACTION
public	execution_results_signal_outbox	public	execution_case_links	execution_link_id	link_id	NO ACTION
public	execution_results_signal_outbox	public	execution_delivery_evidence	evidence_id	evidence_id	NO ACTION
public	execution_results_signal_outbox	public	initiatives	initiative_id	id	NO ACTION
public	execution_results_signal_outbox	public	organizations	organization_id	id	NO ACTION
public	execution_spine_backfill_receipts	public	case_core	legacy_case_id	case_id	NO ACTION
public	execution_spine_backfill_receipts	public	execution_case_links	canonical_execution_link_id	link_id	NO ACTION
public	execution_spine_backfill_receipts	public	execution_case_links	legacy_execution_link_id	link_id	NO ACTION
public	execution_spine_backfill_receipts	public	execution_spine_backfill_runs	run_id	run_id	NO ACTION
public	execution_spine_backfill_receipts	public	initiatives	legacy_initiative_id	id	NO ACTION
public	execution_spine_backfill_receipts	public	organizations	organization_id	id	NO ACTION
public	execution_spine_backfill_runs	public	organizations	organization_id	id	NO ACTION
public	execution_spine_identity_quarantine	public	case_core	legacy_case_id	case_id	NO ACTION
public	execution_spine_identity_quarantine	public	execution_case_links	legacy_execution_link_id	link_id	NO ACTION
public	execution_spine_identity_quarantine	public	execution_spine_backfill_runs	run_id	run_id	NO ACTION
public	execution_spine_identity_quarantine	public	initiatives	legacy_initiative_id	id	NO ACTION
public	execution_spine_identity_quarantine	public	organizations	organization_id	id	NO ACTION
public	external_digital_assessments	public	organizations	organization_id	id	CASCADE
public	external_digital_assessments	public	projects	project_id	id	CASCADE
public	facility_users	public	organization_facilities	facility_id	id	CASCADE
public	facility_users	public	users	assigned_by	id	SET NULL
public	facility_users	public	users	user_id	id	CASCADE
public	feature_update_events	public	feature_updates	update_id	id	CASCADE
public	feature_update_events	public	organizations	organization_id	id	CASCADE
public	feature_update_events	public	users	user_id	id	SET NULL
public	feature_update_reads	public	feature_updates	update_id	id	CASCADE
public	feature_update_reads	public	users	user_id	id	CASCADE
public	feature_updates	public	organizations	organization_id	id	CASCADE
public	feature_updates	public	users	created_by	id	SET NULL
public	feature_votes	public	feature_requests	feature_id	id	CASCADE
public	feature_votes	public	users	user_id	id	CASCADE
public	feedback	public	users	user_id	id	CASCADE
public	feedback_analysis	public	system_feedback	feedback_id	id	CASCADE
public	feedback_comments	public	feedback_items	feedback_id	id	CASCADE
public	feedback_comments	public	users	user_id	id	CASCADE
public	feedback_status_history	public	system_feedback	feedback_id	id	CASCADE
public	feedback_votes	public	feedback_items	feedback_id	id	CASCADE
public	feedback_votes	public	users	user_id	id	CASCADE
public	finance_analysis_benchmarks	public	finance_analysis_kpi_catalog	kpi_catalog_id	id	NO ACTION
public	finance_analysis_benchmarks	public	finance_business_versions	business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_analysis_definitions	public	finance_business_versions	business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_analysis_kpi_catalog	public	finance_analysis_kpi_catalog	superseded_by_id	id	NO ACTION
public	finance_analysis_kpi_catalog	public	organizations	organization_id	id	NO ACTION
public	finance_analysis_kpi_values	public	finance_analysis_kpi_catalog	kpi_catalog_id	id	NO ACTION
public	finance_analysis_kpi_values	public	finance_business_versions	business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_analysis_kpi_values	public	finance_stmt_entities	entity_id	id	NO ACTION
public	finance_analysis_kpi_values	public	finance_stmt_periods	period_id	period_id	NO ACTION
public	finance_analysis_variance	public	finance_analysis_kpi_catalog	kpi_catalog_id	id	NO ACTION
public	finance_analysis_variance	public	finance_business_versions	business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_analysis_variance	public	finance_stmt_entities	entity_id	id	NO ACTION
public	finance_analysis_variance	public	finance_stmt_periods	period_id	period_id	NO ACTION
public	finance_artifact_aliases	public	finance_artifacts	artifact_id,organization_id	artifact_id,organization_id	NO ACTION
public	finance_artifact_aliases	public	finance_business_versions	business_version_id	business_version_id	NO ACTION
public	finance_artifacts	public	finance_business_versions	current_business_version_id	business_version_id	NO ACTION
public	finance_artifacts	public	organizations	organization_id	id	NO ACTION
public	finance_baseline_assumptions	public	finance_business_versions	business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_baseline_assumptions	public	finance_stmt_entities	entity_id	id	NO ACTION
public	finance_baseline_assumptions	public	finance_stmt_periods	base_period_id	period_id	NO ACTION
public	finance_baseline_assumptions	public	finance_stmt_periods	period_id	period_id	NO ACTION
public	finance_baseline_backtest_line_results	public	finance_baseline_backtest_runs	backtest_run_id	id	NO ACTION
public	finance_baseline_backtest_line_results	public	finance_baseline_backtest_runs	backtest_run_id,organization_id	id,organization_id	NO ACTION
public	finance_baseline_backtest_line_results	public	finance_stmt_entities	entity_id	id	NO ACTION
public	finance_baseline_backtest_line_results	public	finance_stmt_periods	period_id	period_id	NO ACTION
public	finance_baseline_backtest_line_results	public	financial_statement_lines	canonical_line_id	id	NO ACTION
public	finance_baseline_backtest_runs	public	finance_business_versions	actual_statement_pack_business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_baseline_backtest_runs	public	finance_business_versions	baseline_business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_baseline_backtest_runs	public	finance_stmt_periods	holdout_period_end_id	period_id	NO ACTION
public	finance_baseline_backtest_runs	public	finance_stmt_periods	holdout_period_start_id	period_id	NO ACTION
public	finance_baseline_context_command_receipts	public	finance_baseline_workspace_contexts	business_version_id,organization_id	business_version_id,organization_id	NO ACTION
public	finance_baseline_context_command_receipts	public	organizations	organization_id	id	NO ACTION
public	finance_baseline_context_command_receipts	public	users	created_by	id	NO ACTION
